No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed
797,CAS CONSTRUCTION,Louth,"Tredagh View, Drogheda",1,Respond,,,,,,Q1-2017
798,CAS CONSTRUCTION,Louth,"36 Strand Hill, Clogherhead",4,St. John of God Housing Association Ltd,"Stage 1 approved Q2-2017, outline design and costs are being prepared.",,,,,
799,CAS CONSTRUCTION,Louth,Coulter Park,6,Túath Housing Association Ltd,"Stage 1 approved Q3-2017, outline design and costs are being prepared.",,,,,
800,CAS CONSTRUCTION,Louth,"Four Winds, Mullacapple, Collon",1,St. John of God Housing Association Ltd,"Stage 1 approved Q3-2018, outline design and costs are being prepared.",,,,,
801,CAS CONSTRUCTION,Louth,"St. John's Home, Peter's Hill, Drogheda, Co. Louth",4,North  East Housing Association Ltd,"Stage 1 approved Q3-2018, outline design and costs are being prepared.",,,,,
802,PUBLIC PRIVATE PARTNERSHIP (Bundle 1),Louth,"Ravel Ardee Road, Dunleer",80,*N/A,,,,Q3-2018,,
803,CALF Turnkey,Mayo,"Glenlara, Westport, Co Mayo  (Phase 1)",10,Co-operative Housing Ireland,,,,,Q2-2018,
804,CALF Turnkey,Mayo,"The Sycamores, Ballina (Phase 1)",11,Cluid Housing ,,,,Q1-2018,,
805,SHIP CONSTRUCTION,Mayo,"Market Street, Swinford",2,*N/A,"Stage 1 approved Q1-2017, outline design and costs are being prepared.",,,,,
806,SHIP CONSTRUCTION,Mayo,"Knocknageeha, Newport",1,*N/A,,,,,Q2-2018,
807,SHIP CONSTRUCTION,Mayo,"Kilkelly Road, Knock (Phase 3)",4,*N/A,,,,,,Q3-2018
808,SHIP CONSTRUCTION,Mayo,Kilmeena (Phase 2),4,*N/A,,,,,,Q3-2018
809,SHIP CONSTRUCTION,Mayo,"Knockmore, Ballina",8,*N/A,,,,,Q4-2017,
810,SHIP CONSTRUCTION,Mayo,"Radharc an tSaillin, Binghamstown, Belmullet (Phase 2)",4,*N/A,,,,,Q3-2018,
811,SHIP CONSTRUCTION,Mayo,"Sliabh Rua, Foxford (Phase 3)",10,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
812,SHIP CONSTRUCTION,Mayo,"Woodlands, Balla (Phase 3)",4,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
813,SHIP CONSTRUCTION,Mayo,"Slinaunroe, Clogher (SRD)",1,*N/A,,,,,,Q2-2017
814,SHIP CONSTRUCTION,Mayo,"Abbeyquarter, Ballyhaunis",18,*N/A,,,"Stage 3 approved Q2-2018, the scheme is now approved to proceed to tender.",,,
815,SHIP CONSTRUCTION,Mayo,"Tonragee West, Achill (Phase 2)",4,*N/A,,,"Stage 3 approved Q2-2018, the scheme is now approved to proceed to tender.",,,
816,SHIP CONSTRUCTION,Mayo,"Sli na Roba, Friarsquarter, Ballinrobe",16,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
817,SHIP CONSTRUCTION,Mayo,"Marian Crescent, Ballina",4,*N/A,,,,,,Q2-2018
818,SHIP CONSTRUCTION,Mayo,"Tubberhill, Westport (Phase 3)",21,*N/A,,,,,,Q1-2018
819,SHIP CONSTRUCTION,Mayo,"St. Patrick's Terrace, Westport",1,*N/A,,,,,,Q3-2017
820,SHIP CONSTRUCTION,Mayo,"Parke, Castlebar",8,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
821,SHIP CONSTRUCTION,Mayo,Killavally,10,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
822,SHIP CONSTRUCTION,Mayo,"Lios na Circa, Saleen, Castlebar",22,*N/A,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
823,SHIP CONSTRUCTION,Mayo,"Kilkelly Road, Swinford",27,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
824,SHIP CONSTRUCTION,Mayo,"Barhauve, Rossport (SRD)",1,*N/A,,,,,,Q2-2018
825,SHIP CONSTRUCTION,Mayo,"Glaggaun, Ballycroy (SRD)",1,*N/A,,,,,,Q4-2017
826,SHIP CONSTRUCTION,Mayo,"Glengad, Pollatomish (SRD)",1,*N/A,,,,,,Q2-2018
827,SHIP CONSTRUCTION,Mayo,"Gorthbrack, Inver (SRD)",1,*N/A,,,,,,Q1-2018
828,CAS CONSTRUCTION,Mayo,"Admiral Browne Road, Foxford (Phase 2)",4,Society of Saint Vincent de Paul,,,,,,Q1-2018
829,CAS CONSTRUCTION,Mayo,"Killosheehan, Ballinrobe",6,Society of Saint Vincent de Paul,,,,,Q2-2018,
830,CAS CONSTRUCTION,Mayo,"Admiral Browne Road, Foxford (Phase 1)",8,Society of Saint Vincent de Paul,,,,,,Q3-2016
831,CAS CONSTRUCTION,Mayo,"Logmore, Belmullet",7,Irish Wheelchair Association Ltd,,,,,,Q2-2017
832,CALF Turnkey,Meath,"27 Ardmore Rise, Bettystown, Co Meath  (Phase 1)",1,North & East Housing Association Ltd,,,,,Q2-2017,
833,CALF Turnkey,Meath,"6 Units Seabury Lawns, Mornington, Co Meath (Phase 1)",6,Cluid Housing ,,,,,,Q1-2018
834,CALF Turnkey,Meath,"BlackCastle,Slane Road, Navan, Co. Meath (Phase 1)",9,Túath Housing Association Ltd,,,,,Q3-2017,
835,CALF Turnkey,Meath,"Ceamach Close, Donacarney, Co Meath  (Phase 1)",7,Cluid Housing ,,,,,,Q2-2018
836,CALF Turnkey,Meath,"Ceamach Close, Donacarney, Co Meath  (Phase 2)*",9,Cluid Housing ,,,,,,Q3-2018
837,CALF Turnkey,Meath,"Cherryvalley, Rathmoylan, Co Meath (Phase 1)",9,Cluid Housing ,,,,,,Q4-2017
838,CALF Turnkey,Meath,"Churchfields, Ashbourne, Co Meath (Phase 1)*",8,Túath Housing Association Ltd,,,,,,Q2-2017
839,CALF Turnkey,Meath,"Commons Road, Navan, Co Meath  (Phase 1)",12,North & East Housing Association Ltd,,,,,Q2-2018,
840,CALF Turnkey,Meath,"Commons Road, Navan, Co. Meath (Phase 1)",20,Túath Housing Association Ltd,,,,,Q3-2018,
841,CALF Turnkey,Meath,"Commons Road, Navan, Co. Meath (Phase 2)",20,Túath Housing Association Ltd,,,,,Q3-2018,
842,CALF Turnkey,Meath,"Commons Road, Navan, Co. Meath (Phase 3)",18,Túath Housing Association Ltd,,,,,Q3-2018,
843,CALF Turnkey,Meath,"Dunville, Athlumney, Co Meath  (Phase 1)",10,Túath Housing Association Ltd,,,,,,Q1-2018
844,CALF Turnkey,Meath,"Dunville, Athlumney, Co Meath  (Phase 2)*",8,Túath Housing Association Ltd,,,,,,Q1-2018
845,CALF Turnkey,Meath,"Dunville, Athlumney, Co Meath  (Phase 3)",4,Túath Housing Association Ltd,,,,,,Q2-2018
846,CALF Turnkey,Meath,"Dunville, Athlumney, Co Meath  (Phase 4)*",12,Túath Housing Association Ltd,,,,,,Q2-2018
847,CALF Turnkey,Meath,"Dunville, Athlumney, Co Meath  (Phase 5)*",18,Túath Housing Association Ltd,,,,,,Q2-2018
848,CALF Turnkey,Meath,"Dunville, Athlumney, Co Meath  (Phase 6)",12,Túath Housing Association Ltd,,,,,,Q3-2018
849,CALF Turnkey,Meath,"Eastham Square, Bettystown, Meath (Phase 1)*",5,Cluid Housing ,,,,,Q2-2018,
850,CALF Turnkey,Meath,"Fredrick Manor, Ashbourne, Co. Meath (Phase 1)",4,Cluid Housing ,,,,,Q4-2017,
851,CALF Turnkey,Meath,"Fredrick Manor, Ashbourne, Co. Meath (Phase 2)",7,Cluid Housing ,,,,,Q4-2017,
852,CALF Turnkey,Meath,"Grangehall, Dunshaughlin (Phase 1)",7,Túath Housing Association Ltd,,,,,,Q2-2018
853,CALF Turnkey,Meath,"Kellets Grove, Dunshauglin, Co Meath  (Phase 1)*",6,Túath Housing Association Ltd,,,,,,Q1-2018
854,CALF Turnkey,Meath,"Mill Lane, Flower Hill, Navan, Co Meath (Phase 1)",20,Oaklee Housing ,,,,,,Q1-2016
855,CALF Turnkey,Meath,"Millrace Court, Emmet Street, Trim, Co Meath  (Phase 1)",11,North & East Housing Association Ltd,,,,,,Q2-2018
856,CALF Turnkey,Meath,"Milltown, Ashbourne, Co Meath (Phase 1)",11,Cluid Housing ,,,,,,Q1-2017
857,CALF Turnkey,Meath,"Milltown, Ashbourne, Co Meath (Phase 2)",36,Cluid Housing ,,,,,,Q4-2017
858,CALF Turnkey,Meath,"Milltown, Ashbourne, Co Meath (Phase 3)",20,Cluid Housing ,,,,,,Q4-2017
859,CALF Turnkey,Meath,"Revised - Fitzherbert Wood, Slane Road, Navan, Co Meath  (Phase 1)",44,Túath Housing Association Ltd,,,,,Q2-2018,
860,CALF Turnkey,Meath,"Royal Oaks, Enfield, Co Meath (Phase 1)*",4,Cluid Housing ,,,,,,Q2-2017
861,CALF Turnkey,Meath,"Seabury Lawns, Mornington, Co. Meath (Phase 1)",25,Cluid Housing ,,,,,,Q3-2017
862,CALF Turnkey,Meath,"Station Road, Dunboyne, Co. Meath (Phase 1)*",24,Respond,,,,,Q1-2018,
863,CALF Turnkey,Meath,"Tubberclaire, Navan, Co Meath (Phase 1)",23,Cluid Housing ,,,,,,Q2-2016
864,SHIP CONSTRUCTION TURNKEY,Meath,"Cois Glaisin, Navan",19,*N/A,,,,,Q3-2018,
865,SHIP CONSTRUCTION TURNKEY,Meath,"Clonmagadden, Navan",12,*N/A,,,,,Q3-2018,
866,SHIP CONSTRUCTION RAPID,Meath,Kilmainhamwood,4,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
867,SHIP CONSTRUCTION RAPID,Meath,Cortown,10,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
868,SHIP CONSTRUCTION RAPID,Meath,Oldcastle,16,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
869,SHIP CONSTRUCTION,Meath,"Proudstown Road, Navan",4,*N/A,,,,,Q2-2018,
870,SHIP CONSTRUCTION,Meath,Bettystown (Phase 2),15,*N/A,,,,,Q3-2018,
871,SHIP CONSTRUCTION,Meath,"St. Oliver's, Ratoath",17,*N/A,,,,,Q1-2018,
872,SHIP CONSTRUCTION,Meath,"Riverside, Kells",40,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
873,SHIP CONSTRUCTION,Meath,"Cherry Court, Summerhill",19,*N/A,,,,,Q4-2017,
874,SHIP CONSTRUCTION,Meath,"Connaught Grove, Athboy",32,*N/A,,,,,,Q2-2018
875,SHIP CONSTRUCTION,Meath,Nobber,19,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
876,SHIP CONSTRUCTION,Meath,Carlanstown,13,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
877,SHIP CONSTRUCTION,Meath,Donore,21,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
878,SHIP CONSTRUCTION,Meath,Dunshaughlin,25,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
879,SHIP CONSTRUCTION,Meath,Bettystown (Phase 1),16,*N/A,,,,,,Q3-2017
880,SHIP CONSTRUCTION,Meath,Farganstown,42,*N/A,"Stage 1 approved Q1-2018, outline design and costs are being prepared.",,,,,
881,SHIP CONSTRUCTION,Meath,"The Belfry, Trim",3,*N/A,"Stage 1 approved Q3-2018, outline design and costs are being prepared.",,,,,
882,SHIP CONSTRUCTION,Meath,"Blackhill Crescent, Donacarney",2,*N/A,"Stage 1 approved Q3-2018, outline design and costs are being prepared.",,,,,
883,SHIP CONSTRUCTION,Meath,"Archdeaconary Glebe, Kells",20,*N/A,"Stage 1 approved Q3-2018, outline design and costs are being prepared.",,,,,
884,SHIP CONSTRUCTION,Meath,"Nangle Court, Navan",6,*N/A,"Stage 1 approved Q3-2018, outline design and costs are being prepared.",,,,,
885,SHIP CONSTRUCTION,Meath,"Dept of Education site, Castle Street, Ashbourne",55,*N/A,"Stage 1 approved Q3-2018, outline design and costs are being prepared.",,,,,
886,SHIP CONSTRUCTION,Meath,"Church View, Rathmoylon",9,*N/A,"Stage 1 approved Q3-2018, outline design and costs are being prepared.",,,,,
887,CAS CONSTRUCTION,Meath,"Blackcastle, Slane Road, Navan",17,T£ath Housing Association Ltd,,,,,Q4-2017,
888,CALF Construction,Monaghan,"Post Tender - Liseggerton Road, Clones (Phase 1)",6,Oaklee Housing ,,,,,Q2-2017,
889,CALF Turnkey,Monaghan,"Kingscourt Road, Carrickmacross, Co Monagahan  (Phase 1)",50,Respond,,,,,Q2-2018,
890,CALF Turnkey,Monaghan,"Magheross, Carrickmacross, Co Monaghan (Phase 1)",7,Túath Housing Association Ltd,,,,Q4-2017,,
891,CALF Turnkey,Monaghan,"Magheross, Carrickmacross, Co Monaghan (Phase 2)",14,Túath Housing Association Ltd,,,,Q4-2017,,
892,CALF Turnkey,Monaghan,"Magheross, Carrickmacross, Co Monaghan (Phase 3)",12,Túath Housing Association Ltd,,,,Q4-2017,,
893,SHIP CONSTRUCTION TURNKEY,Monaghan,"Drumbear Wood, Monaghan Town",12,*N/A,,,,,,Q4-2017
894,SHIP CONSTRUCTION TURNKEY,Monaghan,"Knockroe Glen, Monaghan Town (Phase 3)",6,*N/A,,,,,,Q4-2017
895,SHIP CONSTRUCTION TURNKEY,Monaghan,"Knockroe Glen, Monaghan Town (Phase 2)",8,*N/A,,,,,,Q2-2017
896,SHIP CONSTRUCTION TURNKEY,Monaghan,"Knockroe Glen, Monaghan  Town (Phase 1)",8,*N/A,,,,,,Q2-2017
897,SHIP CONSTRUCTION TURNKEY,Monaghan,"Killycard, Bree, Castleblaney",4,*N/A,,,,,Q3-2018,
898,SHIP CONSTRUCTION TURNKEY,Monaghan,"The Meadows, Smithborough",5,*N/A,,,,,,Q4-2017
899,SHIP CONSTRUCTION TURNKEY,Monaghan,"Maple Grove, Smithborough",11,*N/A,,,,,Q3-2018,
900,SHIP CONSTRUCTION,Monaghan,"Bree, Castleblayney",8,*N/A,,,,,Q3-2018,
901,SHIP CONSTRUCTION,Monaghan,"Latlorcan, Monaghan Town",43,*N/A,,,,,Q3-2018,
902,SHIP CONSTRUCTION,Monaghan,"Davy's & Adjacent Porperty, Fermanagh St., Clones",3,*N/A,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
903,SHIP CONSTRUCTION,Monaghan,"Boyle Sports Site, Fermanagh St., Clones",3,*N/A,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
904,SHIP CONSTRUCTION,Monaghan,"82 & 83 Fermanagh St., Clones",3,*N/A,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
905,SHIP CONSTRUCTION,Monaghan,"An Bonnan Bui & Flower Shop, Fermanagh St., Clones",6,*N/A,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
906,SHIP CONSTRUCTION,Monaghan,"2a & 3 Analore St., Clones",2,*N/A,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
907,SHIP CONSTRUCTION,Monaghan,"Abbey Gatehouse, Analore St., Clones",4,*N/A,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
908,SHIP CONSTRUCTION,Monaghan,"Bothar na Mullen, Scotstown",31,*N/A,"Stage 1 approved Q3-2018, outline design and costs are being prepared.",,,,,
909,CAS CONSTRUCTION,Monaghan,"Drumillard, Castleblayney (Phase 2)",2,Castleblayney Care Housing Association Ltd,,,"Stage 3 approved Q1-2018, the scheme is now approved to proceed to tender.",,,
910,CAS CONSTRUCTION,Monaghan,"Liseggerton, Clones",16,Oaklee Housing Trust,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
911,CAS CONSTRUCTION,Monaghan,"Convent Lands, Carrickmacross",7,Respond,,,,,,Q2-2017
912,CALF Construction,Offaly,"Kearney?s Field, Tullamore, Co. Offaly (Phase 1)",35,Oaklee Housing ,,,,Q1-2017,,
913,CALF Construction,Offaly,"Killane Drive, Edenderry, Co Offaly (Phase 1)",25,Túath Housing Association Ltd,,,,Q2-2017,,
914,CALF Turnkey,Offaly,"Frankford Park, Kilcormac, Co. Offaly (Phase 1)",12,Túath Housing Association Ltd,,,,Q2-2018,,
915,SHIP CONSTRUCTION TURNKEY,Offaly,"McGregol, Birr",12,*N/A,,,,"Stage 4 approved Q4-2017, the scheme is fully approved.",,
916,SHIP CONSTRUCTION TURNKEY,Offaly,"Mill Race, Ferbane",5,*N/A,,,,,,Q4-2017
917,SHIP CONSTRUCTION TURNKEY,Offaly,"Cluain na Spideoga, Cloghan",6,*N/A,,,,,Q2-2018,
918,SHIP CONSTRUCTION TURNKEY,Offaly,"Coolagarry, Walsh Island, ",4,*N/A,,,,"Stage 4 approved Q1-2018, the scheme is fully approved.",,
919,SHIP CONSTRUCTION TURNKEY,Offaly,"Frankford, Kilcormac",12,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
920,SHIP CONSTRUCTION SINGLE STAGE,Offaly,"Church Street, Clara, Co. Offaly",3,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
921,SHIP CONSTRUCTION SINGLE STAGE,Offaly,"Beechgrove, Belmont, Co. Offaly",7,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
922,SHIP CONSTRUCTION,Offaly,"Chancery Lane, Tullamore",14,*N/A,,,,,Q3-2018,
923,SHIP CONSTRUCTION,Offaly,"Circular Road, Daingean",7,*N/A,"Stage 1 approved Q2-2017, outline design and costs are being prepared.",,,,,
924,SHIP CONSTRUCTION,Offaly,"Kylebeg, Banagher (Phase 2)",18,*N/A,"Stage 1 approved Q3-2017, outline design and costs are being prepared.",,,,,
925,SHIP CONSTRUCTION,Offaly,"Blundell Wood, Edenderry",33,*N/A,,,,,Q4-2017,
926,CAS CONSTRUCTION,Offaly,Mountbolus,4,Mid Offaly Housing Association Ltd,,,,,Q3-2018,
927,CAS CONSTRUCTION,Offaly,"Killane Drive, Edenderry",2,Túath Housing Association Ltd,,,"Stage 3 approved Q2-2018, the scheme is now approved to proceed to tender.",,,
928,CAS CONSTRUCTION,Offaly,"Scurragh, Birr",6,Cluid Housing Association,,,"Stage 3 approved Q1-2018, the scheme is now approved to proceed to tender.",,,
929,CAS CONSTRUCTION,Offaly,"Clonminch, Tullamore",20,Oaklee Housing Trust,"Stage 1 approved Q3-2017, outline design and costs are being prepared.",,,,,
930,CALF Turnkey,Roscommon,"Revised - Monksfield Park, Bealnamulla, Athlone (Phase 1)",13,Cluid Housing ,,,,,,Q3-2018
931,CALF Turnkey,Roscommon,"River Oaks, Kilcolman, Ballaghaderreen, Co. Roscommon (Phase 1)",12,Respond,,,,,,Q1-2018
932,SHIP CONSTRUCTION TURNKEY,Roscommon,"Monksland, Athlone",10,*N/A,,,,,,Q3-2018
933,SHIP CONSTRUCTION TURNKEY,Roscommon,"Station Road, Termon, Boyle",10,*N/A,,,,,Q1-2018,
934,SHIP CONSTRUCTION TURNKEY,Roscommon,"Silveroe Meadows, Boyle",12,*N/A,,"Stage 2 approved Q2-2018, full design/tender being prepared.",,,,
935,SHIP CONSTRUCTION,Roscommon,Cloonfad,1,*N/A,"Stage 1 approved Q3-2017, outline design and costs are being prepared.",,,,,
936,SHIP CONSTRUCTION,Roscommon,"Greenfields, Blackstick Road, Roscommon Town",6,*N/A,,,,,,Q3-2017
937,SHIP CONSTRUCTION,Roscommon,"River Oaks, Ballaghaderreen",10,*N/A,,,,,,Q4-2017
938,SHIP CONSTRUCTION,Roscommon,"Cluain Fraoigh, Cloonbeirne",7,*N/A,"Stage 1 approved Q2-2018, outline design and costs are being prepared.",,,,,
939,SHIP CONSTRUCTION,Roscommon,"Monksland, Athlone",1,*N/A,"Stage 1 approved Q3-2018, outline design and costs are being prepared.",,,,,
940,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Roscommon,"The Walk, Roscommon Town",53,*N/A,,,Q1-2018,,,
941,SHIP CONSTRUCTION,Sligo,Colloney,15,*N/A,,,"Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.",,,
942,SHIP CONSTRUCTION,Sligo,Knappagh Road,28,*N/A,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
943,SHIP CONSTRUCTION,Sligo,"Caltragh, Culleens",1,*N/A,,,,,Q1-2018,
944,SHIP CONSTRUCTION,Sligo,"Carrowbunnaun, Strandhill",20,*N/A,"Stage 1 approved Q2-2015, outline design and costs are being prepared.",,,,,
945,SHIP CONSTRUCTION,Sligo,"Daghloonagh, Keash - SRD",1,*N/A,,,,,,Q4-2016
946,SHIP CONSTRUCTION,Sligo,Rosses Point,14,*N/A,,,"Stage 3 approved Q2-2018, the scheme is now approved to proceed to tender.",,,
947,SHIP CONSTRUCTION,Sligo,Fr. Flanagan Terrace,14,*N/A,,,,,,Q3-2018
948,SHIP CONSTRUCTION,Sligo,Fr. Flanagan Terrace,8,*N/A,,,,,,Q4-2017
949,SHIP CONSTRUCTION,Sligo,"Connolly Park, Tubbercurry",10,*N/A,,"Stage 2 approved Q3-2018, full design/tender being prepared.",,,,
950,SHIP CONSTRUCTION,Sligo,94 St Joseph's Terrace,1,*N/A,,,,"Stage 4 approved Q2-2018, the scheme is fully approved.",,
951,SHIP CONSTRUCTION,Sligo,Dromore West ,10,*N/A,"Stage 1 approved Q3-2018, outline design and costs are being prepared.",,,,,
952,CAS CONSTRUCTION,Sligo,"Cuan Iosa, Ballymote",8,Society of Saint Vincent de Paul,,,,"Stage 4 approved Q3-2018, the scheme is fully approved.",,
953,CALF Construction,South Dublin,"1 Hollyville Terrace, Palmerstown, Dublin (Phase 1)",2,Cluid Housing ,,,,Q4-2017,,
954,CALF Turnkey,South Dublin,"1-6 Temple Court, Temple Woods, Greenhills Road, Dublin 12 (Phase 1)*",6,Túath Housing Association Ltd,,,,,Q1-2018,
955,CALF Turnkey,South Dublin,"11 Palmerstown Avenue, Dublin 20 (Phase 1)",7,Respond,,,,Q3-2018,,
956,CALF Turnkey,South Dublin,"41 & 43 Tullyhall, Lucan, County Dublin (Phase 1)*",2,Túath Housing Association Ltd,,,,,Q3-2018,
957,CALF Turnkey,South Dublin,"47 and 49 Tullyhall Drive, Lucan, Co. Dublin
 (Phase 1)",2,Túath Housing Association Ltd,,,,,Q3-2018,
958,CALF Turnkey,South Dublin,"Ballynakelly, Newcastle, Co. Dublin (Phase 1)",10,Túath Housing Association Ltd,,,,,Q1-2018,
959,CALF Turnkey,South Dublin,"Broadfield Grove, Rathcoole, Co. Dublin (Phase 1)*",14,Oaklee Housing ,,,,,,Q3-2017
960,CALF Turnkey,South Dublin,"De Selby Lawns, Tallaght, Dublin 24 (Phase 1)",7,Túath Housing Association Ltd,,,,Q3-2018,,
961,CALF Turnkey,South Dublin,"Dodderbrook (Apartments), Oldcourt Road, Ballycullen, Dublin 24 (Phase 1)*",6,Cluid Housing ,,,,,,Q1-2018
962,CALF Turnkey,South Dublin,"Dodderbrook (Houses), Oldcourt Road, Ballycullen, Dublin 24 (Phase 1)*",8,Cluid Housing ,,,,,,Q1-2018
963,CALF Turnkey,South Dublin,"Dodderbrook, Oldcourt Road, Ballycllen, Dublin 24 (Phase 1)*",4,Cluid Housing ,,,,,,Q3-2018
964,CALF Turnkey,South Dublin,"Elder Heath, Kiltipper Road, Tallaght, Dublin 24  (Phase 1)*",18,Cluid Housing ,,,,,,Q1-2018
965,CALF Turnkey,South Dublin,"Elder Heath, Kiltipper Road, Tallaght, Dublin 24  (Phase 2)*",10,Cluid Housing ,,,,,,Q2-2018
966,CALF Turnkey,South Dublin,"Millford Manor, Clondalkin - Apartments (Phase 1)",13,Cluid Housing ,,,,,,Q2-2018
967,CALF Turnkey,South Dublin,"Millford Manor, Clondalkin - Apartments (Phase 2)*",12,Cluid Housing ,,,,,Q1-2017,
968,CALF Turnkey,South Dublin,"Millford Manor, Clondalkin - Houses (Phase 1)",25,Cluid Housing ,,,,,,Q1-2017
969,CALF Turnkey,South Dublin,"Millford Manor, Clondalkin - Houses (Phase 2)",15,Cluid Housing ,,,,,,Q3-2017
970,CALF Turnkey,South Dublin,"Millford Manor, Cloverhill Road, Clondalkin, Dublin 22 (Phase 1)*",2,Cluid Housing ,,,,,Q1-2018,
971,CALF Turnkey,South Dublin,"New Bancroft, Tallaght, Dublin 24 (Phase 1)*",16,Cluid Housing ,,,,,,Q3-2017
972,CALF Turnkey,South Dublin,"Palmerstown Way, Clondalkin, Dublin 22 (Phase 1)*",6,Túath Housing Association Ltd,,,,,,Q3-2018
973,CALF Turnkey,South Dublin,"Scholarstown Wood (Apartments), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 1)*",6,Circle Voluntary Housing Association Ltd,,,,,,Q2-2018
974,CALF Turnkey,South Dublin,"Scholarstown Wood (Houses), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 1)*",3,Circle Voluntary Housing Association Ltd,,,,,,Q4-2017
975,CALF Turnkey,South Dublin,"Scholarstown Wood (Houses), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 2)*",4,Circle Voluntary Housing Association Ltd,,,,,,Q2-2018
976,CALF Turnkey,South Dublin,"Scholarstown Wood (Houses), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 3)*",1,Circle Voluntary Housing Association Ltd,,,,,Q2-2016,
977,CALF Turnkey,South Dublin,"Shackleton Park, Lucan, Co. Dublin (Phase 1)*",8,Cluid Housing ,,,,,Q1-2018,
978,CALF Turnkey,South Dublin,"St. Johns, Firhouse, Dublin 24 (Phase 1)*",10,Respond,,,,,Q2-2018,
979,CALF Turnkey,South Dublin,"Station Road, Clondalkin, Co. Dublin (Phase 1)",5,Respond,,,,,,Q3-2017
980,CALF Turnkey,South Dublin,"Tullyhall, Lucan, Co Dublin			 (Phase 1)*",2,Túath Housing Association Ltd,,,,,,Q3-2017
981,CALF Turnkey,South Dublin,"Tullyhall, Lucan, Co Dublin			 (Phase 2)*",2,Túath Housing Association Ltd,,,,,Q2-2017,
982,CALF Turnkey,South Dublin,"Westpark, Garters Lane, Saggert, Co Dublin  (Phase 1)",28,Cluid Housing ,,,,,Q2-2018,
983,CALF Turnkey,South Dublin,"Westpark, Garters Lane, Saggert, Co Dublin  (Phase 2)",28,Cluid Housing ,,,,,Q2-2018,
984,CALF Turnkey,South Dublin,"Westpark, Garters Lane, Saggert, Co Dublin  (Phase 3)",28,Cluid Housing ,,,,,Q2-2018,
985,CALF Turnkey,South Dublin,"Wilkins View, Greenhills, Dublin 12 (Phase 1)*",3,Circle Voluntary Housing Association Ltd,,,,,,Q2-2018
986,SHIP CONSTRUCTION RAPID,South Dublin,"Killininny Road, Firhouse (Old Mill, Old Bawn)",24,*N/A,,,,,Q1-2018,
987,SHIP CONSTRUCTION RAPID,South Dublin,"St Cuthbert's, Clondalkin (Phase 1)",63,*N/A,,,,,Q3-2018,
988,SHIP CONSTRUCTION RAPID,South Dublin,"St. Aidan's Brookfield, Tallaght (Phase 1)",47,*N/A,,,,,,Q2-2018
989,SHIP CONSTRUCTION RAPID,South Dublin,"St. Aidan's Brookfield, Tallaght (Phase 2)",22,*N/A,,,,,,Q3-2018
990,SHIP CONSTRUCTION RAPID,South Dublin,"St. Catherine?s, Knockmore Avenue, Killinarden, Tallaght",13,*N/A,"Stage 1 approved Q2-2018, outline design and costs are being prepared.",,,,,
991,SHIP CONSTRUCTION RAPID,South Dublin,"St. Aidan's Brookfield, Tallaght (Sheehy Skeffington)",16,*N/A,,,,,Q3-2017,
