No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed
,SHIP CONSTRUCTION TURNKEY,Monaghan,"Knockroe Glen, Monaghan Town (Phase 2)",8,*N/A,,,,,,Q2-2017
,SHIP CONSTRUCTION TURNKEY,Monaghan,"Knockroe Glen, Monaghan  Town (Phase 1)",8,*N/A,,,,,,Q2-2017
,SHIP CONSTRUCTION TURNKEY,Monaghan,"Killycard, Bree, Castleblaney",4,*N/A,"Stage 1 approved in Q3-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION TURNKEY,Monaghan,"The Meadows, Smithborough",5,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Monaghan,"Maple Grove, Smithborough",12,*N/A,,,,"Stage 4 approved in Q3-2017, the scheme is fully approved.",,
,SHIP CONSTRUCTION,Monaghan,"Bree, Castleblayney",8,*N/A,,,,"Stage 4 approved in Q2-2018, the scheme is fully approved.",,
,SHIP CONSTRUCTION,Monaghan,"Latlorcan, Monaghan Town",43,*N/A,,,,"Stage 4 approved in Q2-2018, the scheme is fully approved.",,
,SHIP CONSTRUCTION,Monaghan,"Davy's & Adjacent Porperty, Fermanagh St., Clones",3,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Monaghan,"Boyle Sports Site, Fermanagh St., Clones",3,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Monaghan,"82 & 83 Fermanagh St., Clones",3,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Monaghan,"An Bonnan Bui & Flower Shop, Fermanagh St., Clones",6,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Monaghan,"2a & 3 Analore St., Clones",2,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Monaghan,"Abbey Gatehouse, Analore St., Clones",4,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Monaghan,"Drumillard, Castleblayney (Phase 2)",2,Castleblayney Care Housing Association Ltd,,,"Stage 3 approved in Q1-2018, the scheme is being tendered.",,,
,CAS CONSTRUCTION,Monaghan,"Liseggerton, Clones",16,Oaklee Housing Trust,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Monaghan,"Convent Lands, Carrickmacross",7,Respond,,,,,,Q2-2017
,CALF Turnkey,Monaghan,"Kingscourt Road, Carrickmacross, Co Monagahan  (Phase 1)",50,Respond,,,,,Q2-2018,
,CALF Turnkey,Monaghan,"Magheross, Carrickmacross, Co Monaghan (Phase 1)",7,Túath Housing Association Ltd,,,,Scheme approved for CALF funding Q4-2017,,
,CALF Turnkey,Monaghan,"Magheross, Carrickmacross, Co Monaghan (Phase 2)",14,Túath Housing Association Ltd,,,,Scheme approved for CALF funding Q4-2017,,
,CALF Turnkey,Monaghan,"Magheross, Carrickmacross, Co Monaghan (Phase 3)",12,Túath Housing Association Ltd,,,,Scheme approved for CALF funding Q4-2017,,
,CALF Construction,Monaghan,"Post Tender - Liseggerton Road, Clones (Phase 1)",6,Oaklee Housing ,,,,,Q2-2017,
,SHIP CONSTRUCTION TURNKEY,Offaly,"McGregol, Birr",12,*N/A,,,,"Stage 4 approved in Q4-2017, the scheme is fully approved.",,
,SHIP CONSTRUCTION TURNKEY,Offaly,"Mill Race, Ferbane",5,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION TURNKEY,Offaly,"Cluain na Spideoga, Cloghan",6,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION TURNKEY,Offaly,"Coolagarry, Walsh Island, ",4,*N/A,"Stage 1 approved in Q1-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Offaly,"Chancery Lane, Tullamore",14,*N/A,,,"Stage 3 approved in Q1-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Offaly,"Circular Road, Daingean",7,*N/A,"Stage 1 approved in Q2-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Offaly,"Kylebeg, Banagher (Phase 2)",18,*N/A,"Stage 1 approved in Q3-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Offaly,"Blundell Wood, Edenderry",33,*N/A,,,,,Q4-2017,
,CAS CONSTRUCTION,Offaly,Mountbolus,4,Mid Offaly Housing Association Ltd,,,,"Stage 4 approved in Q2-2018, the scheme is fully approved.",,
,CAS CONSTRUCTION,Offaly,"Killane Drive, Edenderry",2,Túath Housing Association Ltd,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,CAS CONSTRUCTION,Offaly,"Scurragh, Birr",6,Cluid Housing Association,,,"Stage 3 approved in Q1-2018, the scheme is being tendered.",,,
,CAS CONSTRUCTION,Offaly,"Clonminch, Tullamore",20,Oaklee Housing Trust,"Stage 1 approved in Q3-2017, outline design and costs being prepared.",,,,,
,CALF Turnkey,Offaly,"Frankford Park, Kilcormac, Co. Offaly (Phase 1)",12,Túath Housing Association Ltd,,,,Scheme approved for CALF funding Q2-2018,,
,CALF Construction,Offaly,"Kearney?s Field, Tullamore, Co. Offaly (Phase 1)",35,Oaklee Housing ,,,,Scheme approved for CALF funding Q1-2017,,
,CALF Construction,Offaly,"Killane Drive, Edenderry, Co Offaly (Phase 1)",25,Túath Housing Association Ltd,,,,Scheme approved for CALF funding Q2-2017,,
,SHIP CONSTRUCTION TURNKEY,Roscommon,"Monksland, Athlone",10,*N/A,,,,,Q1-2017,
,SHIP CONSTRUCTION TURNKEY,Roscommon,"Station Road, Termon, Boyle",10,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION TURNKEY,Roscommon,"Silveroe Meadows, Boyle",12,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Roscommon,Cloonfad,1,*N/A,"Stage 1 approved in Q3-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Roscommon,"Greenfields, Blackstick Road, Roscommon Town",6,*N/A,,,,,,Q3-2017
,SHIP CONSTRUCTION,Roscommon,"River Oaks, Ballaghaderreen",10,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,Roscommon,"Cluain Fraoigh, Cloonbeirne",7,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,CALF Turnkey,Roscommon,"Revised - Monksfield Park, Bealnamulla, Athlone (Phase 1)",13,Cluid Housing ,,,,,Q1-2016,
,CALF Turnkey,Roscommon,"River Oaks, Kilcolman, Ballaghaderreen, Co. Roscommon (Phase 1)",12,Respond,,,,,,Q1-2018
,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Roscommon,"The Walk, Roscommon Town",53,*N/A,,,Q1-2018,,,
,SHIP CONSTRUCTION,Sligo,Colloney,15,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Sligo,Knappagh Road,28,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Sligo,"Caltragh, Culleens",1,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Sligo,"Carrowbunnaun, Strandhill",20,*N/A,"Stage 1 approved in Q2-2015, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Sligo,Fr. Flanagan Terrace (2),14,*N/A,,,,,Q1-2017,
,SHIP CONSTRUCTION,Sligo,"Daghloonagh, Keash - SRD",1,*N/A,,,,,,Q4-2016
,SHIP CONSTRUCTION,Sligo,Rosses Point,14,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Sligo,Fr. Flanagan Terrace (1),8,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,Sligo,"Connolly Park, Tubbercurry",10,*N/A,"Stage 1 approved in Q1-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Sligo,94 St Joseph's Terrace,1,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,CAS CONSTRUCTION,Sligo,"Cuan Iosa, Ballymote",8,Society of Saint Vincent de Paul,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION RAPID,South Dublin,"Killininny Road, Firhouse (Old Mill, Old Bawn)",24,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION RAPID,South Dublin,"St Cuthbert's, Clondalkin (Phase 1)",20,*N/A,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION RAPID,South Dublin,"St Aidan's,  Brookfield, Tallaght (Phase 1)",47,*N/A,,,,,,Q2-2018
,SHIP CONSTRUCTION RAPID,South Dublin,"St. Aidan's Brookfield, Tallaght (Phase 2)",38,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION RAPID,South Dublin,"St Cuthberts, Clondalkin (Phase 2)",43,*N/A,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION RAPID,South Dublin,"St. Catherine?s, Knockmore Avenue, Killinarden, Tallaght",13,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,South Dublin,"Killinarden, Tallaght",26,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,South Dublin,"Letts Field, Neilstown, Clondalkin",37,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,South Dublin,"Ballyboden,  Rathfarnham",40,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,South Dublin,"Dromcarra, Tallaght",14,*N/A,,,,,Q2-2017,
,SHIP CONSTRUCTION,South Dublin,Fortunestown (MacUilliam),28,*N/A,,,,,Q2-2017,
,SHIP CONSTRUCTION,South Dublin,"Mayfield Estate, Clondalkin",17,*N/A,,,,,,Q2-2018
,SHIP CONSTRUCTION,South Dublin,"St Marks Green, Clondalkin",11,*N/A,,,,,Q1-2017,
,SHIP CONSTRUCTION,South Dublin,Balgaddy F,50,*N/A,"Stage 1 approved in Q1-2015, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,South Dublin,St Finians,2,*N/A,,,,,,Q3-2016
,SHIP CONSTRUCTION,South Dublin,"Suncroft, Tallaght",10,*N/A,,,,,,Q4-2016
,SHIP CONSTRUCTION,South Dublin,Belgard Road,3,*N/A,,,,,,Q1-2016
,CAS CONSTRUCTION,South Dublin,"Collinstown Grove, Clondalkin",4,Túath Housing Association Ltd,,,"Stage 3 approved in Q4-2017, the scheme is being tendered.",,,
,CAS CONSTRUCTION,South Dublin,"Old Nangor Road, Clondalkin",10,Simon Community : Dublin Simon,,"Stage 2 approved in Q4-2016, full design/tender being prepared.",,,,
,CALF Construction,South Dublin,"1 Hollyville Terrace, Palmerstown, Dublin (Phase 1)",2,Cluid Housing ,,,,Scheme approved for CALF funding Q4-2017,,
,CALF Turnkey,South Dublin,"Ballynakelly, Newcastle, Co. Dublin (Phase 1)",10,Túath Housing Association Ltd,,,,Scheme approved for CALF funding Q2-2018,,
,CALF Turnkey,South Dublin,"Broadfield Grove, Rathcoole, Co. Dublin (Phase 1)",14,Oaklee Housing ,,,,,,Q3-2017
,CALF Turnkey,South Dublin,"Dodderbrook (Apartments), Oldcourt Road, Ballycullen, Dublin 24 (Phase 1)*",6,Cluid Housing ,,,,,,Q1-2018
,CALF Turnkey,South Dublin,"Dodderbrook (Houses), Oldcourt Road, Ballycullen, Dublin 24 (Phase 1)*",8,Cluid Housing ,,,,,,Q1-2018
,CALF Turnkey,South Dublin,"Dodderbrook, Oldcourt Road, Ballycllen, Dublin 24 (Phase 1)*",4,Cluid Housing ,,,,,Q4-2016,
,CALF Turnkey,South Dublin,"Elder Heath, Kiltipper Road, Tallaght, Dublin 24  (Phase 1)*",18,Cluid Housing ,,,,,,Q1-2018
,CALF Turnkey,South Dublin,"Elder Heath, Kiltipper Road, Tallaght, Dublin 24  (Phase 2)*",10,Cluid Housing ,,,,,,Q2-2018
,CALF Turnkey,South Dublin,"Millford Manor, Clondalkin - Apartments (Phase 1)",13,Cluid Housing ,,,,,,Q2-2018
,CALF Turnkey,South Dublin,"Millford Manor, Clondalkin - Apartments (Phase 2)*",12,Cluid Housing ,,,,,Q1-2017,
,CALF Turnkey,South Dublin,"Millford Manor, Clondalkin - Houses (Phase 1)",25,Cluid Housing ,,,,,,Q1-2017
,CALF Turnkey,South Dublin,"Millford Manor, Clondalkin - Houses (Phase 2)",15,Cluid Housing ,,,,,,Q3-2017
,CALF Turnkey,South Dublin,"Millford Manor, Cloverhill Road, Clondalkin, Dublin 22 (Phase 1)*",2,Cluid Housing ,,,,,Q1-2018,
,CALF Turnkey,South Dublin,"New Bancroft, Tallaght, Dublin 24 (Phase 1)",16,Cluid Housing ,,,,,,Q3-2017
,CALF Turnkey,South Dublin,"Palmerstown Way, Clondalkin, Dublin 22 (Phase 1)*",6,Túath Housing Association Ltd,,,,,Q2-2017,
,CALF Turnkey,South Dublin,"Scholarstown Wood (Apartments), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 1)",6,Circle Voluntary Housing Association Ltd,,,,,,Q2-2018
,CALF Turnkey,South Dublin,"Scholarstown Wood (Houses), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 1)*",3,Circle Voluntary Housing Association Ltd,,,,,,Q4-2017
,CALF Turnkey,South Dublin,"Scholarstown Wood (Houses), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 2)*",4,Circle Voluntary Housing Association Ltd,,,,,,Q2-2018
,CALF Turnkey,South Dublin,"Scholarstown Wood (Houses), Scholarstown Road, Rathfarnham, Dublin 16  (Phase 3)*",1,Circle Voluntary Housing Association Ltd,,,,,Q2-2016,
,CALF Turnkey,South Dublin,"Shackleton Park, Lucan, Co. Dublin (Phase 1)*",8,Cluid Housing ,,,,,Q1-2018,
,CALF Turnkey,South Dublin,"St. Johns, Firhouse, Dublin 24 (Phase 1)",10,Respond,,,,,Q2-2018,
,CALF Turnkey,South Dublin,"Station Road, Clondalkin, Co. Dublin (Phase 1)",5,Respond,,,,,,Q3-2017
,CALF Turnkey,South Dublin,"Tullyhall, Lucan, Co Dublin			 (Phase 1)*",2,Túath Housing Association Ltd,,,,,,Q3-2017
,CALF Turnkey,South Dublin,"Tullyhall, Lucan, Co Dublin			 (Phase 2)*",2,Túath Housing Association Ltd,,,,,Q2-2017,
,CALF Construction,South Dublin,"Westpark, Garters Lane, Saggert, Co Dublin  (Phase 1)",28,Cluid Housing ,,,,,Q2-2018,
,CALF Construction,South Dublin,"Westpark, Garters Lane, Saggert, Co Dublin  (Phase 2)",14,Cluid Housing ,,,,,Q2-2018,
,CALF Construction,South Dublin,"Westpark, Garters Lane, Saggert, Co Dublin  (Phase 3)",28,Cluid Housing ,,,,,Q2-2018,
,CALF Construction,South Dublin,"Westpark, Garters Lane, Saggert, Co Dublin  (Phase 4)",14,Cluid Housing ,,,,,Q2-2018,
,CALF Turnkey,South Dublin,"Wilkins View, Greenhills, Dublin 12 (Phase 1)*",3,Circle Voluntary Housing Association Ltd,,,,,,Q2-2018
,PUBLIC PRIVATE PARTNERSHIP (Bundle 1),South Dublin,Corkage Grange (part of Kilcarbery),109,*N/A,,,Q1-2018,,,
,SHIP CONSTRUCTION,Tipperary,"Ard na Greine, Clonmel",2,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Tipperary,Knockanrawley,28,*N/A,,"Stage 2 approved in Q3-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Tipperary,"Mill Road, Thurles",27,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Tipperary,"Mulkear View, Newport",9,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Tipperary,"Treacy Park, Carrick on Suir",1,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,Tipperary,Templetouhy,6,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Tipperary,Borrisoleigh,12,*N/A,"Stage 1 approved in Q1-2016, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Tipperary,"Abbey Street, Cahir",11,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Tipperary,Borrisokane,16,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Tipperary,"Portroe, Nenagh",18,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Tipperary,Cloughjordan,2,*N/A,,"Stage 2 approved in Q1-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Tipperary,"Glenconnor Road, Clonmel",26,*N/A,,,"Stage 3 approved in Q1-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Tipperary,"Gortataggart, Thurles",2,*N/A,,,,"Stage 4 approved in Q2-2018, the scheme is fully approved.",,
,SHIP CONSTRUCTION,Tipperary,"Kilcooly Way, Gortnahoe",5,*N/A,,,"Stage 3 approved in Q1-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Tipperary,"Lacey Avenue, Templemore",3,*N/A,,,,,,Q3-2016
,SHIP CONSTRUCTION,Tipperary,"Mitchel St., Thurles",1,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Tipperary,"Glencarrick, Roscrea",30,*N/A,"Stage 1 approved in Q2-2015, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Tipperary,Borrisoleigh,2,*N/A,,,,,,Q4-2016
,SHIP CONSTRUCTION,Tipperary,Lower Ballingarry,1,*N/A,,,,,,Q2-2016
,SHIP CONSTRUCTION,Tipperary,"Poulamaleen, Faugheen",1,*N/A,,,,,,Q2-2016
,SHIP CONSTRUCTION,Tipperary,"Cormack Drive, Nenagh",19,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Tipperary,"Lacey Avenue, Templemore",1,*N/A,,,,,,Q3-2017
,CAS CONSTRUCTION,Tipperary,"Ballinagrana, Carrick on Suir",3,Camphill Communities of Ireland,"Stage 1 approved in Q3-2015, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Tipperary,"Castle Street, Carrick on Suir",1,Camphill Communities of Ireland,"Stage 1 approved in Q3-2015, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Tipperary,"The Strand, Carrick on Suir",3,Camphill Communities of Ireland,"Stage 1 approved in Q3-2015, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Tipperary,Fethard,4,Belmont Park Housing Association Ltd,"Stage 1 approved in Q3-2015, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Tipperary,"Glenconnor Road, Clonmel",9,Cluid Housing Association,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Tipperary,"Stanwix House, Kickham Street, Thurles",19,Thurles Lions Trust Housing Assoc.,"Stage 1 approved in Q3-2017, outline design and costs being prepared.",,,,,
,CALF Turnkey,Tipperary,"Ashbury, Roscrea, Co Tipperary (Phase 1)",12,Cluid Housing ,,,,,,Q2-2017
,CALF Turnkey,Tipperary,"Ashgrove, Monadreen, Thurles, Co Tipperary  (Phase 1)",9,Co-operative Housing Ireland,,,,Scheme approved for CALF funding Q4-2017,,
,CALF Turnkey,Tipperary,"Ashgrove, Monadreen, Thurles, Co Tipperary  (Phase 2)",10,Co-operative Housing Ireland,,,,Scheme approved for CALF funding Q4-2017,,
,SHIP CONSTRUCTION TURNKEY,Waterford,"Kilrush, Dungarvan",39,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION TURNKEY,Waterford,"Gibbethill, Gracedieu",5,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION TURNKEY,Waterford,"Carrickphierish, Gracedieu, Waterford",31,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION TURNKEY,Waterford,"Shandon, Dungarvan",5,*N/A,,,,,Q4-2017,
,SHIP CONSTRUCTION TURNKEY,Waterford,"Airport Road, Waterford City",33,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION RAPID,Waterford,"Ballygunner, Waterford City",65,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION RAPID,Waterford,"Ballynaneashagh, Waterford City",20,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Waterford,"An Garran, Crobally Upper, Tramore",50,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Waterford,"Alms Houses, Tallow",4,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION,Waterford,"Ardmore Park/Priory Lawn, Waterford City",5,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Waterford,"Ballinroad, Dungarvan",21,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Waterford,"Barrack Street, Cappoquin",4,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,Waterford,"Coolfin Woods, Portlaw",12,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Waterford,"Larchville, Waterford City",5,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Waterford,"Patrick Street, Tramore",2,*N/A,,,,,Q3-2017,
,SHIP CONSTRUCTION,Waterford,"Doyle Street, Waterford City",4,*N/A,"Stage 1 approved in Q1-2014, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Waterford,"Old Cinema Site, Dungarvan",15,*N/A,,,,,,Q4-2016
,SHIP CONSTRUCTION,Waterford,"Lower Yellow Road, Waterford",8,*N/A,"Stage 1 approved in Q1-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Waterford,"The Glen, Bridge St, Waterford",11,*N/A,"Stage 1 approved in Q1-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Waterford,"Clarendon Court, Penrose Lane, Waterford",24,*N/A,"Stage 1 approved in Q1-2018, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Waterford,"Summerland Square, Waterford",12,*N/A,,"Stage 2 approved in Q2-2018, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Waterford,"Convent Hill, Tramore",10,Society of Saint Vincent de Paul,,,,,,Q1-2017
,CAS CONSTRUCTION,Waterford,"Powersfield, Hennessys Road, Waterford",3,Focus Ireland,,"Stage 2 approved in Q2-2016, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Waterford,"Wadding Manor, Ferrybank",10,Respond,,,"Stage 3 approved in Q3-2017, the scheme is being tendered.",,,
,CAS CONSTRUCTION,Waterford,"Gleann Ealach, Dunhill",8,Gleann Ealach Housing Association,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,CAS CONSTRUCTION,Waterford,"Ballycarnane, Tramore",18,Tramore Voluntary Housing Association,"Stage 1 approved in Q4-2016, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Waterford,"The Paddocks, Williamstown Rd. Waterford",4,Anvers Housing Association Ltd,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,CALF Turnkey,Waterford,"Estuary Heights, Shandon Road, Dungarvan (Phase 1)",20,Co-operative Housing Ireland,,,,Scheme approved for CALF funding Q3-2016,,
,CALF Construction,Waterford,"St Johns College, Waterford (Phase 1)",36,Respond,,,,,,Q1-2016
,PUBLIC PRIVATE PARTNERSHIP (Bundle 2),Waterford,"Slievekeale, Waterford City",57,*N/A,,,Q1-2018,,,
,SHIP CONSTRUCTION TURNKEY,Westmeath,"Belvedere Hills, Mullingar",21,*N/A,,,,,,Q4-2017
,SHIP CONSTRUCTION,Westmeath,"Bun Daire, Kinnegad (Phase 3)",12,*N/A,"Stage 1 approved in Q1-2016, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Westmeath,"St. Laurence's Terrace, Mullingar",9,*N/A,,,,,Q2-2017,
,SHIP CONSTRUCTION,Westmeath,16 Ennell Court,1,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION,Westmeath,"Clonbrusk, Arcadia, Athlone  Phase 1",33,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION,Westmeath,Ennell Court (Phase 2),3,*N/A,,,,,,Q2-2016
,SHIP CONSTRUCTION,Westmeath,"Grange Crescent, Mullingar",2,*N/A,,,,,,Q1-2016
,SHIP CONSTRUCTION,Westmeath,Ennell Court (Phase 3),32,*N/A,,"Stage 2 approved in Q1-2018, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Westmeath,"Cloghanboy, Athlone",10,*N/A,"Stage 1 approved in Q3-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Westmeath,"Bishopsgate, Mullingar",4,*N/A,,"Stage 2 approved in Q4-2017, full design/tender being prepared.",,,,
,SHIP CONSTRUCTION,Westmeath,"St. Brigid's Green, Mullingar",14,*N/A,"Stage 1 approved in Q2-2018, outline design and costs being prepared.",,,,,
,CAS CONSTRUCTION,Westmeath,"Farran, Mullingar",4,Túath Housing Association Ltd,,"Stage 2 approved in Q2-2017, full design/tender being prepared.",,,,
,CALF Turnkey,Westmeath,"Cluain Mullen, Castlepollard, Westmeath (Phase 1)",2,Túath Housing Association Ltd,,,,,,Q2-2017
,CALF Turnkey,Westmeath,"Rahanine, Rochfortbridge, Co Westmeath (Phase 1)",12,Túath Housing Association Ltd,,,,Scheme approved for CALF funding Q4-2017,,
,SHIP CONSTRUCTION TURNKEY,Wexford,"Gleann an Ghairdin (Phase 1), Ballytegan Road, Gorey",8,*N/A,,,,,,Q1-2018
,SHIP CONSTRUCTION TURNKEY,Wexford,"Madeira Oaks, Wexford",8,*N/A,,,,,,Q3-2017
,SHIP CONSTRUCTION TURNKEY,Wexford,"Gleann an Ghairdin, Ballytegan Road, Gorey. Phase 1.",18,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION TURNKEY,Wexford,"Ard Uisce, Whiterock, Wexford",9,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION TURNKEY,Wexford,"Castlebridge, Co Wexford",3,*N/A,,,,,Q2-2018,
,SHIP CONSTRUCTION TURNKEY,Wexford,"Gleann and Ghairdin, Ballytegan Road, Gorey, Phase 2",4,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION TURNKEY,Wexford,"Ard Uisce, Whiterock,Wexford",26,*N/A,,,,,Q1-2018,
,SHIP CONSTRUCTION,Wexford,"SN Castlemoyle, New Ross",1,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Wexford,"Cloghultagh, Taghmon",18,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Wexford,"Carricklawn, Coolcots, Wexford",14,*N/A,"Stage 1 approved in Q2-2017, outline design and costs being prepared.",,,,,
,SHIP CONSTRUCTION,Wexford,"Coolcotts, Clonard",7,*N/A,,,"Stage 3 approved in Q2-2018, the scheme is being tendered.",,,
,SHIP CONSTRUCTION,Wexford,"Creagh, Gorey",10,*N/A,,,,,Q2-2018,
